i=126 x=0,0390518916594285; y=0,49847261685856
i=127 x=0,0508608304435102; y=0,497406449421996
i=128 x=0,0625901105685886; y=0,496067009645886
i=129 x=0,0742248442394365; y=0,494459980683605
i=130 x=-0,357629669086972; y=0,349429563415495
i=131 x=-0,354565745127409; y=0,352538128976491
i=132 x=-0,351389781735465; y=0,355703839298794
i=133 x=-0,348096525368075; y=0,35892730326164
i=134 x=-0,344680446705675; y=0,362209041381874
i=135 x=-0,341135727994231; y=0,365549470093784
i=136 x=-0,337456250608377; y=0,368948883892249
i=137 x=-0,333635583095985; y=0,372407435065685
i=138 x=-0,32966697003758; y=0,375925110715208
i=139 x=-0,325543322143976; y=0,379501706725363
i=140 x=-0,321257208124291; y=0,383136798321678
i=141 x=-0,316800848986913; y=0,386829706823521
i=142 x=-0,312166115599653; y=0,390579462173095
i=143 x=-0,30734453051152; y=0,394384760816963
i=144 x=-0,302327275267759; y=0,398243918508711
i=145 x=-0,297105204693899; y=0,402154817630967
i=146 x=-0,291668869900001; y=0,406114848695854
i=147 x=-0,28600855207411; y=0,410120845776548
i=148 x=-0,280114309432391; y=0,414169015802987
i=149 x=-0,273976040010933; y=0,418254861896341
i=150 x=-0,267583563240346; y=0,422373101278478
i=151 x=-0,260926723418278; y=0,426517578777477
i=152 x=-0,253995518190504; y=0,430681177600249
i=153 x=-0,24678025492575; y=0,434855729844717
i=154 x=-0,239271737240056; y=0,43903193022618
i=155 x=-0,231461482872906; y=0,443199257610249
i=156 x=-0,223341972391723; y=0,447345910194979
i=157 x=-0,214906925870111; y=0,451458761364821
i=158 x=-0,206151601564588; y=0,45552334426718
i=159 x=-0,197073106956356; y=0,459523873715576
i=160 x=-0,187670708483806; y=0,463443313876882
i=161 x=-0,177946122424428; y=0,467263499017536
i=162 x=-0,167903766305028; y=0,470965312162782
i=163 x=-0,157550948809315; y=0,474528922753171
i=164 x=-0,146897977081797; y=0,477934079480922
i=165 x=-0,135958164255035; y=0,481160448886233
i=166 x=-0,124747726889007; y=0,484187984811711
i=167 x=-0,113285571298569; y=0,486997309371989
i=168 x=-0,101592978153803; y=0,489570083634449
i=169 x=-0,0896932046251242; y=0,491889346341304
i=170 x=-0,0776110309591693; y=0,493939801872106
i=171 x=-0,0653722824173773; y=0,49570804380355
i=172 x=-0,053003357405889; y=0,497182706963651
i=173 x=-0,0405307887437761; y=0,498354547650372
i=174 x=-0,0279808583320104; y=0,499216457628356
i=175 x=-0,0153792775149435; y=0,499763421853899
i=176 x=-0,00275093753319909; y=0,499992432285418
i=177 x=0,00988027221988489; y=0,499902370689379
i=178 x=0,958641363078809; y=0,277338647121499
i=179 x=0,957904363643753; y=0,27386081469918
i=180 x=0,95750474763681; y=0,270638623897295
i=181 x=0,957463357696906; y=0,267655178776777
i=182 x=0,957802674356248; y=0,264882665807002
i=183 x=0,958540385498328; y=0,262280327333217
i=184 x=0,959681515278842; y=0,259798044632476
i=185 x=0,961215255823872; y=0,257385278476813
i=186 x=0,963118918312952; y=0,254998855273612
i=187 x=0,965364367803501; y=0,25260530731409
i=188 x=0,967922588434535; y=0,250179465604476
i=189 x=-0,385048461620761; y=0,318963449635668
i=190 x=-0,382783010248851; y=0,321678670515824
i=191 x=-0,380438380874909; y=0,324448205970194
i=192 x=-0,378010918512525; y=0,327273197016373
i=193 x=-0,375496767520802; y=0,330154778219896
i=194 x=-0,372891859671005; y=0,333094072284542
i=195 x=-0,370191901575308; y=0,336092183794948
i=196 x=-0,36739236147545; y=0,33915019199389
i=197 x=-0,364488455399581; y=0,342269142460181
i=198 x=-0,36147513270938; y=0,345450037534715
i=199 x=-0,358347061077719; y=0,348693825320956
i=200 x=-0,355098610960539; y=0,35200138706246
i=201 x=-0,351723839656794; y=0,355373522673091
